"filename", "language", "Markdown", "YAML", "CMake", "C++", "Batch", "Dart", "Shell Script", "Ruby", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
