Date : 2026-02-24 13:01:22
Directory : /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool
Total : 56 files,  8128 codes, 163 comments, 1311 blanks, all 9602 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/domain/services/export_service.dart                       | Dart         |         19 |          0 |          4 |         23 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/domain/services/scan_service.dart                         | Dart         |         18 |          0 |          5 |         23 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/domain/services/update_service.dart                       | Dart         |        183 |          0 |         32 |        215 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/infrastructure/encoding/encoding_detector.dart            | Dart         |        144 |          0 |         26 |        170 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/infrastructure/exporters/word_exporter.dart               | Dart         |        246 |          1 |         29 |        276 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/infrastructure/io/file_reader.dart                        | Dart         |         46 |          0 |          5 |         51 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/infrastructure/security/path_validator.dart               | Dart         |        156 |          0 |         25 |        181 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/main.dart                                                 | Dart         |         48 |          0 |          4 |         52 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/ui/pages/home_page.dart                                   | Dart         |      1,262 |          0 |         55 |      1,317 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/Flutter/GeneratedPluginRegistrant.swift                 | Swift        |         10 |          3 |          4 |         17 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/Podfile                                                 | Ruby         |         32 |          1 |         10 |         43 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/Runner/AppDelegate.swift                                | Swift        |         11 |          0 |          3 |         14 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json | JSON         |         68 |          0 |          0 |         68 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/Runner/Base.lproj/MainMenu.xib                          | XML          |        343 |          0 |          1 |        344 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/Runner/MainFlutterWindow.swift                          | Swift        |         12 |          0 |          4 |         16 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/RunnerTests/RunnerTests.swift                           | Swift        |          7 |          2 |          4 |         13 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/macos/update.sh                                               | Shell Script |         19 |          1 |          9 |         29 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/pubspec.yaml                                                  | YAML         |         38 |         33 |         15 |         86 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/test/widget_test.dart                                         | Dart         |          8 |          0 |          3 |         11 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/CMakeLists.txt                                        | CMake        |         89 |          0 |         20 |        109 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/CMakeLists.txt                                | CMake        |         98 |          0 |         12 |        110 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/generated_plugin_registrant.cc                | C++          |          9 |          4 |          5 |         18 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/generated_plugin_registrant.h                 | C++          |          5 |          5 |          6 |         16 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/flutter/generated_plugins.cmake                       | CMake        |         20 |          0 |          6 |         26 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/CMakeLists.txt                                 | CMake        |         34 |          0 |          7 |         41 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/flutter_window.cpp                             | C++          |         49 |          7 |         16 |         72 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/flutter_window.h                               | C++          |         20 |          5 |          9 |         34 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/main.cpp                                       | C++          |         30 |          4 |         10 |         44 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/resource.h                                     | C++          |          9 |          6 |          2 |         17 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/utils.cpp                                      | C++          |         54 |          2 |         10 |         66 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/utils.h                                        | C++          |          8 |          6 |          6 |         20 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/win32_window.cpp                               | C++          |        210 |         24 |         55 |        289 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/runner/win32_window.h                                 | C++          |         48 |         31 |         24 |        103 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/windows/update.bat                                            | Batch        |         30 |          0 |         10 |         40 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/DESIGN-INDEX.md                                               | Markdown     |        253 |          0 |         50 |        303 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/Requirements.md                                               | Markdown     |         40 |          0 |         14 |         54 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-architecture.md                                        | Markdown     |        311 |          0 |         59 |        370 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-code-cleaner.md                                        | Markdown     |        536 |          6 |         96 |        638 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-encoding.md                                            | Markdown     |        605 |          0 |        119 |        724 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-file-scanner.md                                        | Markdown     |        492 |          0 |        103 |        595 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-ui.md                                                  | Markdown     |        491 |          0 |         63 |        554 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-update.md                                              | Markdown     |        156 |          0 |         28 |        184 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/doc/design-word-exporter.md                                       | Markdown     |        765 |          0 |        147 |        912 |
| Total                                                                                                                                 |              |      8,128 |        163 |      1,311 |      9,602 |
+---------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
